# pastry.dat

param N := 16;
set NAMES := rate moist sweet yellow red purple;
set VARS := moist sweet yellow red purple;
param rating := rate;
param data:

	rate	moist	sweet	yellow	red	purple :=
1	64		4		2		1		0	0
2	73		4		4		1		0	0
3	61		4		2		0		1	0
4	76		4		4		0		0	1
5	72		6		2		1		0	0
6	80		6		4		0		1	0
7	71		6		2		0		1	0
8	83		6		4		0		0	1
9	83		8		2		0		0	1
10	89		8		4		0		0	1
11	86		8		2		0		1	0
12	93		8		4		0		1	0
13	88		10		2		0		0	1
14	95		10		4		0		0	1
15	94		10		2		1		0	0
16	100		10		4		1		0	0;


